"","HI1A","HI1B","HI1C","HI1D","HI1E","HI3Y","HI6","HI7","HI2","HI11","EDUC","HL33","AGEREC","WLTHSCOR","WLTHIND5"
"1",1,4,NA,NA,1,2001,"Urbain","Kinshasa",4249,1,"Secondary+","Masculin","25 a 49 ans",2.44167511690754,"Richest"
"2",1,4,NA,NA,1,2001,"Urbain","Kinshasa",4250,1,"Secondary+","Masculin","25 a 49 ans",2.49874495735196,"Richest"
"3",1,4,NA,NA,1,2001,"Urbain","Kinshasa",4251,5,"Secondary+","Masculin","50 ans et plus",2.84655019950825,"Richest"
"4",1,4,NA,NA,1,2001,"Urbain","Kinshasa",4252,5,"Secondary+","Masculin","50 ans et plus",2.53281636961816,"Richest"
"5",1,4,NA,NA,1,2001,"Urbain","Kinshasa",4253,1,"Secondary+","Masculin","25 a 49 ans",2.5390093352221,"Richest"
"6",1,4,NA,NA,1,2001,"Urbain","Kinshasa",4254,2,"Secondary+","Masculin","25 a 49 ans",2.56894621361615,"Richest"
"7",1,4,NA,NA,1,2001,"Urbain","Kinshasa",4255,2,"Secondary+","Feminin","25 a 49 ans",2.46147509723049,"Richest"
"8",1,4,NA,NA,1,2001,"Urbain","Kinshasa",4256,1,"Secondary+","Feminin","25 a 49 ans",2.44803884670069,"Richest"
"9",1,4,NA,NA,1,2001,"Urbain","Kinshasa",4257,3,"Secondary+","Feminin","25 a 49 ans",2.36007206320503,"Richest"
"10",1,4,NA,NA,1,2001,"Urbain","Kinshasa",4258,8,"Secondary+","Feminin","25 a 49 ans",2.64823365402053,"Richest"
"11",1,4,NA,NA,1,2001,"Urbain","Kinshasa",4259,2,"Secondary+","Masculin","50 ans et plus",2.58071709405394,"Richest"
"12",1,4,NA,NA,1,2001,"Urbain","Kinshasa",4260,NA,NA,NA,NA,NA,NA
"13",1,4,NA,NA,1,2001,"Urbain","Kinshasa",4261,3,"Secondary+","Masculin","25 a 49 ans",2.25710284336931,"Richest"
"14",1,4,NA,NA,1,2001,"Urbain","Kinshasa",4262,2,"Secondary+","Masculin","25 a 49 ans",2.60468285179048,"Richest"
"15",1,4,NA,NA,1,2001,"Urbain","Kinshasa",4263,2,"Secondary+","Masculin","50 ans et plus",2.6520501468256,"Richest"
"16",1,4,NA,NA,1,2001,"Urbain","Kinshasa",4264,1,"Secondary+","Masculin","25 a 49 ans",2.92074898283922,"Richest"
"17",1,4,NA,NA,1,2001,"Urbain","Kinshasa",4265,3,"Secondary+","Masculin","50 ans et plus",2.57550127557669,"Richest"
"18",1,4,NA,NA,1,2001,"Urbain","Kinshasa",4266,1,"Secondary+","Masculin","25 a 49 ans",2.32941116705703,"Richest"
