"","HH1","HH2","HH6","HH7","HH7B","HH9","HH13","HC1A","HC1C","helevel","HHSEX","windex5"
"1",1,1,"Urbain","Kinshasa","Kinshasa","Rempli",1,"Catholique","Manquant","Secondary +","Male","Richest"
"2",1,11,"Urbain","Kinshasa","Kinshasa","Rempli",2,"Autres chretiens independants","Bantou","Secondary +","Male","Fourth"
"3",1,21,"Urbain","Kinshasa","Kinshasa","Rempli",1,"Autre religion","Bantou","Secondary +","Female","Richest"
"4",1,30,"Urbain","Kinshasa","Kinshasa","Rempli",2,"Eglises de reveil","Bantou","Secondary +","Female","Richest"
"5",1,40,"Urbain","Kinshasa","Kinshasa","Rempli",2,"Temoins de Jehovah","Bantou","Secondary +","Male","Richest"
"6",1,50,"Urbain","Kinshasa","Kinshasa","Rempli",0,"Autre religion","Bantou","Secondary +","Male","Richest"
"7",1,59,"Urbain","Kinshasa","Kinshasa","Rempli",4,"Protestant","Bantou","Secondary +","Male","Richest"
"8",1,69,"Urbain","Kinshasa","Kinshasa","Rempli",0,"Catholique","Bantou","Secondary +","Male","Richest"
"9",1,79,"Urbain","Kinshasa","Kinshasa","Rempli",1,"Armee du salut","Bantou","Secondary +","Male","Richest"
"10",1,88,"Urbain","Kinshasa","Kinshasa","Rempli",0,"Kimbanguiste","Bantou","Secondary +","Male","Richest"
"11",1,98,"Urbain","Kinshasa","Kinshasa","Rempli",0,"Catholique","Bantou","Secondary +","Male","Richest"
"12",1,108,"Urbain","Kinshasa","Kinshasa","Rempli",0,"Eglises de reveil","Bantou","Primary","Male","Richest"
"13",1,118,"Urbain","Kinshasa","Kinshasa","Rempli",1,"Eglises de reveil","Bantou","Secondary +","Male","Richest"
"14",1,127,"Urbain","Kinshasa","Kinshasa","Rempli",2,"Eglises de reveil","Bantou","Secondary +","Male","Richest"
"15",1,137,"Urbain","Kinshasa","Kinshasa","Rempli",0,"Autre religion","Bantou","Secondary +","Male","Richest"
"16",1,147,"Urbain","Kinshasa","Kinshasa","Rempli",0,"Catholique","Bantou","Secondary +","Male","Richest"
"17",1,156,"Urbain","Kinshasa","Kinshasa","Rempli",2,"Eglises de reveil","Bantou","Secondary +","Female","Richest"
"18",1,166,"Urbain","Kinshasa","Kinshasa","Rempli",0,"Autres chretiens independants","Bantou","Secondary +","Male","Richest"
"19",1,176,"Urbain","Kinshasa","Kinshasa","Rempli",2,"Catholique","Bantou","Secondary +","Male","Richest"
"20",1,185,"Urbain","Kinshasa","Kinshasa","Rempli",2,"Catholique","Bantou","Missing/DK","Male","Richest"
"21",1,195,"Urbain","Kinshasa","Kinshasa","Rempli",1,"Armee du salut","Bantou","Missing/DK","Male","Richest"
"22",1,205,"Urbain","Kinshasa","Kinshasa","Rempli",3,"Catholique","Bantou","Secondary +","Male","Richest"
"23",1,215,"Urbain","Kinshasa","Kinshasa","Rempli",2,"Sans religion","Bantou","Secondary +","Male","Richest"
"24",1,224,"Urbain","Kinshasa","Kinshasa","Rempli",2,"Eglises de reveil","Bantou","Secondary +","Male","Richest"
"25",1,234,"Urbain","Kinshasa","Kinshasa","Rempli",2,"Eglises de reveil","Bantou","Secondary +","Female","Richest"
"26",1,244,"Urbain","Kinshasa","Kinshasa","Rempli",0,"Catholique","Bantou","Secondary +","Male","Richest"
"27",1,253,"Urbain","Kinshasa","Kinshasa","Rempli",2,"Eglises de reveil","Bantou","Secondary +","Female","Richest"
"28",1,263,"Urbain","Kinshasa","Kinshasa","Rempli",0,"Protestant","Bantou","Secondary +","Male","Richest"
"29",1,273,"Urbain","Kinshasa","Kinshasa","Rempli",0,"Protestant","Bantou","Secondary +","Male","Richest"
"30",1,282,"Urbain","Kinshasa","Kinshasa","Rempli",1,"Eglises de reveil","Bantou","Secondary +","Male","Richest"
"31",2,2,"Urbain","Kinshasa","Kinshasa","Rempli",2,"Eglises de reveil","Bantou","Primary","Male","Richest"
"32",2,12,"Urbain","Kinshasa","Kinshasa","Rempli",1,"Protestant","Bantou","Primary","Female","Fourth"
"33",2,22,"Urbain","Kinshasa","Kinshasa","Rempli",1,"Autre religion","Bantou","Secondary +","Male","Richest"
"34",2,31,"Urbain","Kinshasa","Kinshasa","Rempli",2,"Catholique","Bantou","Primary","Male","Richest"
"35",2,41,"Urbain","Kinshasa","Kinshasa","Rempli",1,"Eglises de reveil","Bantou","Secondary +","Male","Richest"
"36",2,51,"Urbain","Kinshasa","Kinshasa","Rempli",2,"Kimbanguiste","Bantou","Secondary +","Male","Richest"
"37",2,61,"Urbain","Kinshasa","Kinshasa","Rempli",3,"Eglises de reveil","Bantou","Primary","Female","Richest"
"38",2,70,"Urbain","Kinshasa","Kinshasa","Rempli",0,"Kimbanguiste","Bantou","Secondary +","Male","Richest"
"39",2,80,"Urbain","Kinshasa","Kinshasa","Rempli",2,"Protestant","Bantou","Secondary +","Female","Richest"
"40",2,90,"Urbain","Kinshasa","Kinshasa","Rempli",2,"Eglises de reveil","Bantou","Secondary +","Male","Richest"
"41",2,99,"Urbain","Kinshasa","Kinshasa","Rempli",0,"Protestant","Bantou","None","Female","Richest"
"42",2,109,"Urbain","Kinshasa","Kinshasa","Rempli",1,"Protestant","Bantou","Secondary +","Male","Richest"
"43",2,119,"Urbain","Kinshasa","Kinshasa","Rempli",2,"Eglises de reveil","Bantou","Secondary +","Male","Richest"
"44",2,128,"Urbain","Kinshasa","Kinshasa","Rempli",3,"Autres chretiens independants","Bantou","Secondary +","Male","Richest"
"45",2,138,"Urbain","Kinshasa","Kinshasa","Rempli",1,"Eglises de reveil","Bantou","Secondary +","Male","Richest"
"46",2,148,"Urbain","Kinshasa","Kinshasa","Rempli",0,"Eglises de reveil","Bantou","Secondary +","Male","Richest"
"47",2,158,"Urbain","Kinshasa","Kinshasa","Rempli",2,"Eglises de reveil","Bantou","Primary","Female","Richest"
"48",2,167,"Urbain","Kinshasa","Kinshasa","Rempli",3,"Catholique","Bantou","Secondary +","Female","Richest"
