"","hID","HI2","HI3Y","HI6","HI7","HI11","EDUC","HL33","AGEREC","WLTHSCOR","WLTHIND5","cluster","WI3AY","CM2AY","CM7","MN2A","MN2B","MN2C","MELEVEL","DEADKIDS","CEB","WAGE","MSTATUS","CM11Y","WMWEIGHT","MN3A","MN3B","MN3C"
"1","1_1_NA_NA_11_4027",4027,2001,"Urbain","Kinshasa",2,"Secondary+","Feminin","25 a 49 ans",2.66424421765745,"Richest","1_1_NA_NA_11",1967,1995,"Non",NA,NA,NA,"Secondary +",0,1,"30-34","Never married",NA,0.64203,NA,NA,NA
"2","1_1_NA_NA_11_4027",4027,2001,"Urbain","Kinshasa",2,"Secondary+","Feminin","25 a 49 ans",2.66424421765745,"Richest","1_1_NA_NA_11",1983,NA,NA,NA,NA,NA,"Secondary +",NA,0,"15-19","Never married",NA,0.64203,NA,NA,NA
"3","1_1_NA_NA_11_4028",4028,2001,"Urbain","Kinshasa",1,"Secondary+","Masculin","25 a 49 ans",1.96196213583714,"Richest","1_1_NA_NA_11",1966,1985,"Non",NA,NA,NA,"Secondary +",0,5,"35-39","Currently married","1998",0.64203,NA,NA,NA
"4","1_1_NA_NA_11_4029",4029,2001,"Urbain","Kinshasa",1,"Secondary+","Masculin","25 a 49 ans",2.08739709826453,"Richest","1_1_NA_NA_11",1967,1996,"Non",NA,NA,NA,"Secondary +",0,3,"30-34","Currently married","1999",0.64203,NA,NA,NA
"5","1_1_NA_NA_11_4030",4030,2001,"Urbain","Kinshasa",1,"Secondary+","Masculin","50 ans et plus",2.07132371186604,"Richest","1_1_NA_NA_11",1980,NA,NA,NA,NA,NA,"Secondary +",NA,0,"20-24","Never married",NA,0.64203,NA,NA,NA
"6","1_1_NA_NA_11_4031",4031,2001,"Urbain","Kinshasa",1,"Secondary+","Masculin","25 a 49 ans",2.09938774933474,"Richest","1_1_NA_NA_11",1976,1998,"Non","Docteur","Non","Matrone","Secondary +",0,2,"20-24","Currently married","2000",0.64203,"Non","Non","Matrone"
"7","1_1_NA_NA_11_4032",4032,2001,"Urbain","Kinshasa",3,"Secondary+","Feminin","50 ans et plus",2.01402566440559,"Richest","1_1_NA_NA_11",1967,1999,"Non",NA,NA,NA,"Secondary +",0,1,"30-34","Never married","1999",0.64203,NA,NA,NA
"8","1_1_NA_NA_11_4032",4032,2001,"Urbain","Kinshasa",3,"Secondary+","Feminin","50 ans et plus",2.01402566440559,"Richest","1_1_NA_NA_11",1978,1996,"Non",NA,NA,NA,"Secondary +",0,3,"20-24","Formerly married","1999",0.64203,NA,NA,NA
"9","1_1_NA_NA_11_4032",4032,2001,"Urbain","Kinshasa",3,"Secondary+","Feminin","50 ans et plus",2.01402566440559,"Richest","1_1_NA_NA_11",1977,NA,NA,NA,NA,NA,"Secondary +",NA,0,"20-24","Currently married",NA,0.64203,NA,NA,NA
"10","1_1_NA_NA_11_4033",4033,2001,"Urbain","Kinshasa",1,"Secondary+","Masculin","25 a 49 ans",1.83020113683652,"Richest","1_1_NA_NA_11",1974,1994,"Non",NA,NA,NA,"Secondary +",0,3,"25-29","Currently married","1999",0.64203,NA,NA,NA
"11","1_1_NA_NA_11_4034",4034,2001,"Urbain","Kinshasa",3,"Secondary+","Feminin","50 ans et plus",1.83719804031247,"Richest","1_1_NA_NA_11",1973,1997,"Non",NA,NA,NA,"Secondary +",0,1,"25-29","Never married","1997",0.64203,NA,NA,NA
"12","1_1_NA_NA_11_4034",4034,2001,"Urbain","Kinshasa",3,"Secondary+","Feminin","50 ans et plus",1.83719804031247,"Richest","1_1_NA_NA_11",1981,NA,NA,NA,NA,NA,"Secondary +",NA,0,"20-24","Never married",NA,0.64203,NA,NA,NA
"13","1_1_NA_NA_11_4034",4034,2001,"Urbain","Kinshasa",3,"Secondary+","Feminin","50 ans et plus",1.83719804031247,"Richest","1_1_NA_NA_11",1984,NA,NA,NA,NA,NA,"Secondary +",NA,0,"15-19","Never married",NA,0.64203,NA,NA,NA
"14","1_1_NA_NA_11_4035",4035,2001,"Urbain","Kinshasa",2,"Secondary+","Masculin","25 a 49 ans",1.86035301588954,"Richest","1_1_NA_NA_11",1971,1985,"Non",NA,NA,NA,"Secondary +",0,3,"25-29","Currently married","2000",0.64203,NA,NA,NA
"15","1_1_NA_NA_11_4035",4035,2001,"Urbain","Kinshasa",2,"Secondary+","Masculin","25 a 49 ans",1.86035301588954,"Richest","1_1_NA_NA_11",1985,NA,NA,NA,NA,NA,"Secondary +",NA,0,"15-19","Never married",NA,0.64203,NA,NA,NA
"16","1_1_NA_NA_11_4036",4036,2001,"Urbain","Kinshasa",1,"None","Masculin","25 a 49 ans",1.83719804031247,"Richest","1_1_NA_NA_11",1974,1990,"Non","Docteur","Non","Non","Secondary +",0,4,"25-29","Currently married","2000",0.64203,"Docteur","Non","Matrone"
"17","1_1_NA_NA_11_4037",4037,2001,"Urbain","Kinshasa",1,"Secondary+","Masculin","25 a 49 ans",1.98302864912125,"Richest","1_1_NA_NA_11",1977,NA,NA,NA,NA,NA,"Secondary +",NA,0,"20-24","Currently married",NA,0.64203,NA,NA,NA
"18","1_1_NA_NA_11_4038",4038,2001,"Urbain","Kinshasa",1,"Secondary+","Masculin","25 a 49 ans",2.32260372844961,"Richest","1_1_NA_NA_11",1953,NA,NA,NA,NA,NA,"None",NA,0,"45-49","Currently married",NA,0.64203,NA,NA,NA
"19","1_1_NA_NA_11_4039",4039,2001,"Urbain","Kinshasa",3,"Secondary+","Masculin","50 ans et plus",2.24893949800406,"Richest","1_1_NA_NA_11",1951,1975,"Oui",NA,NA,NA,"Secondary +",1,7,"45-49","Currently married",NA,0.64203,NA,NA,NA
"20","1_1_NA_NA_11_4039",4039,2001,"Urbain","Kinshasa",3,"Secondary+","Masculin","50 ans et plus",2.24893949800406,"Richest","1_1_NA_NA_11",1970,1990,"Oui","Non","Infirmiere / sage femme","Non","Secondary +",1,5,"30-34","Formerly married","2000",0.64203,"Non","Non","Matrone"
"21","1_1_NA_NA_11_4039",4039,2001,"Urbain","Kinshasa",3,"Secondary+","Masculin","50 ans et plus",2.24893949800406,"Richest","1_1_NA_NA_11",1985,NA,NA,NA,NA,NA,"Primary",NA,0,"15-19","Never married",NA,0.64203,NA,NA,NA
"22","1_1_NA_NA_11_4040",4040,2001,"Urbain","Kinshasa",2,"Secondary+","Masculin","25 a 49 ans",2.11457762074381,"Richest","1_1_NA_NA_11",1971,1998,"Non","Docteur","Non","Non","Secondary +",0,2,"25-29","Currently married","2001",0.64203,"Docteur","Non","Non"
"23","1_1_NA_NA_11_4040",4040,2001,"Urbain","Kinshasa",2,"Secondary+","Masculin","25 a 49 ans",2.11457762074381,"Richest","1_1_NA_NA_11",1981,NA,NA,NA,NA,NA,"None",NA,0,"15-19","Never married",NA,0.64203,NA,NA,NA
"24","1_1_NA_NA_11_4042",4042,2001,"Urbain","Kinshasa",2,"Secondary+","Masculin","25 a 49 ans",1.73211637463927,"Richest","1_1_NA_NA_11",1974,NA,NA,NA,NA,NA,"Secondary +",NA,0,"25-29","Currently married",NA,0.64203,NA,NA,NA
"25","1_1_NA_NA_11_4042",4042,2001,"Urbain","Kinshasa",2,"Secondary+","Masculin","25 a 49 ans",1.73211637463927,"Richest","1_1_NA_NA_11",1977,1997,"Non",NA,NA,NA,"Secondary +",0,1,"20-24","Never married","1997",0.64203,NA,NA,NA
"26","1_1_NA_NA_11_4043",4043,2001,"Urbain","Kinshasa",2,"Secondary+","Masculin","25 a 49 ans",2.07132371186604,"Richest","1_1_NA_NA_11",1968,1991,"Non",NA,NA,NA,"Secondary +",0,2,"30-34","Currently married",NA,0.64203,NA,NA,NA
"27","1_1_NA_NA_11_4043",4043,2001,"Urbain","Kinshasa",2,"Secondary+","Masculin","25 a 49 ans",2.07132371186604,"Richest","1_1_NA_NA_11",1983,NA,NA,NA,NA,NA,"Secondary +",NA,0,"15-19","Never married",NA,0.64203,NA,NA,NA
"28","1_1_NA_NA_11_4044",4044,2001,"Urbain","Kinshasa",2,"Secondary+","Masculin","50 ans et plus",2.43297605295119,"Richest","1_1_NA_NA_11",1956,1974,"Non",NA,NA,NA,"Secondary +",0,5,"45-49","Currently married",NA,0.64203,NA,NA,NA
"29","1_1_NA_NA_11_4044",4044,2001,"Urbain","Kinshasa",2,"Secondary+","Masculin","50 ans et plus",2.43297605295119,"Richest","1_1_NA_NA_11",1974,NA,NA,NA,NA,NA,"Secondary +",NA,0,"25-29","Never married",NA,0.64203,NA,NA,NA
"30","1_1_NA_NA_11_4045",4045,2001,"Urbain","Kinshasa",2,"Secondary+","Masculin","25 a 49 ans",1.4326653337527,"Richest","1_1_NA_NA_11",1977,1992,"Non",NA,NA,NA,"Secondary +",0,3,"20-24","Currently married","1998",0.64203,NA,NA,NA
"31","1_1_NA_NA_11_4045",4045,2001,"Urbain","Kinshasa",2,"Secondary+","Masculin","25 a 49 ans",1.4326653337527,"Richest","1_1_NA_NA_11",1985,NA,NA,NA,NA,NA,"Secondary +",NA,0,"15-19","Never married",NA,0.64203,NA,NA,NA
"32","1_1_NA_NA_11_4046",4046,2001,"Urbain","Kinshasa",1,"Secondary+","Masculin","25 a 49 ans",1.90006963451721,"Richest","1_1_NA_NA_11",1962,1983,"Non",NA,NA,NA,"Secondary +",0,1,"35-39","Currently married",NA,0.64203,NA,NA,NA
"33","1_1_NA_NA_11_4047",4047,2001,"Urbain","Kinshasa",1,"Secondary+","Masculin","25 a 49 ans",2.20397737033533,"Richest","1_1_NA_NA_11",1968,1988,"Oui",NA,NA,NA,"Primary",1,5,"30-34","Formerly married",NA,0.64203,NA,NA,NA
"34","1_1_NA_NA_11_4048",4048,2001,"Urbain","Kinshasa",2,"Secondary+","Masculin","50 ans et plus",2.43233997081701,"Richest","1_1_NA_NA_11",1978,NA,NA,NA,NA,NA,"Secondary +",NA,0,"20-24","Never married",NA,0.64203,NA,NA,NA
"35","1_1_NA_NA_11_4048",4048,2001,"Urbain","Kinshasa",2,"Secondary+","Masculin","50 ans et plus",2.43233997081701,"Richest","1_1_NA_NA_11",1968,1984,"Non",NA,NA,NA,"Secondary +",0,3,"30-34","Never married","1999",0.64203,NA,NA,NA
"36","1_1_NA_NA_11_4049",4049,2001,"Urbain","Kinshasa",4,"Secondary+","Masculin","25 a 49 ans",2.38833645078982,"Richest","1_1_NA_NA_11",1959,1980,"Non",NA,NA,NA,"Secondary +",0,5,"40-44","Currently married",NA,0.64203,NA,NA,NA
"37","1_1_NA_NA_11_4049",4049,2001,"Urbain","Kinshasa",4,"Secondary+","Masculin","25 a 49 ans",2.38833645078982,"Richest","1_1_NA_NA_11",1980,NA,NA,NA,NA,NA,"Secondary +",NA,0,"20-24","Never married",NA,0.64203,NA,NA,NA
"38","1_1_NA_NA_11_4049",4049,2001,"Urbain","Kinshasa",4,"Secondary+","Masculin","25 a 49 ans",2.38833645078982,"Richest","1_1_NA_NA_11",1984,NA,NA,NA,NA,NA,"Secondary +",NA,0,"15-19","Never married",NA,0.64203,NA,NA,NA
"39","1_1_NA_NA_11_4049",4049,2001,"Urbain","Kinshasa",4,"Secondary+","Masculin","25 a 49 ans",2.38833645078982,"Richest","1_1_NA_NA_11",1973,1994,"Non","Docteur","Non","Non","Secondary +",0,2,"25-29","Formerly married","2000",0.64203,"Docteur","Non","Non"
"40","1_1_NA_NA_11_4050",4050,2001,"Urbain","Kinshasa",4,"Secondary+","Feminin","25 a 49 ans",1.55446934991018,"Richest","1_1_NA_NA_11",1960,1978,"Oui",NA,NA,NA,"Secondary +",1,7,"40-44","Formerly married",NA,0.64203,NA,NA,NA
"41","1_1_NA_NA_11_4050",4050,2001,"Urbain","Kinshasa",4,"Secondary+","Feminin","25 a 49 ans",1.55446934991018,"Richest","1_1_NA_NA_11",1979,1988,"Non","Non","Non","Matrone","Secondary +",0,2,"20-24","Never married","2000",0.64203,"Non","Non","Matrone"
"42","1_1_NA_NA_11_4050",4050,2001,"Urbain","Kinshasa",4,"Secondary+","Feminin","25 a 49 ans",1.55446934991018,"Richest","1_1_NA_NA_11",1981,NA,NA,NA,NA,NA,"Secondary +",NA,0,"15-19","Never married",NA,0.64203,NA,NA,NA
"43","1_1_NA_NA_11_4050",4050,2001,"Urbain","Kinshasa",4,"Secondary+","Feminin","25 a 49 ans",1.55446934991018,"Richest","1_1_NA_NA_11",1984,2001,"Non",NA,NA,NA,"Secondary +",0,1,"15-19","Never married","2001",0.64203,"Non","Non","Non"
"44","1_1_NA_NA_11_4051",4051,2001,"Urbain","Kinshasa",3,"Secondary+","Masculin","50 ans et plus",1.76675160918893,"Richest","1_1_NA_NA_11",1966,1984,"Oui",NA,NA,NA,"Primary",2,9,"35-39","Currently married","1996",0.64203,NA,NA,NA
"45","1_1_NA_NA_11_4051",4051,2001,"Urbain","Kinshasa",3,"Secondary+","Masculin","50 ans et plus",1.76675160918893,"Richest","1_1_NA_NA_11",1981,1999,"Non",NA,NA,NA,"Primary",0,1,"15-19","Never married","1999",0.64203,NA,NA,NA
"46","1_1_NA_NA_11_4051",4051,2001,"Urbain","Kinshasa",3,"Secondary+","Masculin","50 ans et plus",1.76675160918893,"Richest","1_1_NA_NA_11",1984,NA,NA,NA,NA,NA,"Primary",NA,0,"15-19","Never married",NA,0.64203,NA,NA,NA
"47","1_1_NA_NA_11_4052",4052,2001,"Urbain","Kinshasa",1,"Secondary+","Masculin","25 a 49 ans",1.32373426757071,"Richest","1_1_NA_NA_11",1975,1997,"Non",NA,NA,NA,"Secondary +",0,1,"25-29","Currently married","1997",0.64203,NA,NA,NA
"48","1_1_NA_NA_11_4053",4053,2001,"Urbain","Kinshasa",2,"Secondary+","Masculin","25 a 49 ans",2.17597740138484,"Richest","1_1_NA_NA_11",1966,1982,"Oui",NA,NA,NA,"Secondary +",1,5,"35-39","Currently married",NA,0.64203,NA,NA,NA
"49","1_1_NA_NA_11_4053",4053,2001,"Urbain","Kinshasa",2,"Secondary+","Masculin","25 a 49 ans",2.17597740138484,"Richest","1_1_NA_NA_11",1979,NA,NA,NA,NA,NA,"Secondary +",NA,0,"20-24","Never married",NA,0.64203,NA,NA,NA
"50","1_1_NA_NA_11_4054",4054,2001,"Urbain","Kinshasa",1,"Secondary+","Masculin","25 a 49 ans",2.28332895133735,"Richest","1_1_NA_NA_11",1966,1986,"Oui","Docteur","Non","Non","Secondary +",3,8,"30-34","Currently married","2001",0.64203,"Non","Infirmiere / sage femme","Non"
"51","1_1_NA_NA_11_4055",4055,2001,"Urbain","Kinshasa",2,"None","Masculin","25 a 49 ans",2.25148382654077,"Richest","1_1_NA_NA_11",1975,1996,"Non",NA,NA,NA,"Secondary +",0,2,"25-29","Currently married","1999",0.64203,NA,NA,NA
"52","1_1_NA_NA_11_4055",4055,2001,"Urbain","Kinshasa",2,"None","Masculin","25 a 49 ans",2.25148382654077,"Richest","1_1_NA_NA_11",1981,NA,NA,NA,NA,NA,"Secondary +",NA,0,"20-24","Never married",NA,0.64203,NA,NA,NA
"53","1_1_NA_NA_11_4056",4056,2001,"Urbain","Kinshasa",1,"Secondary+","Masculin","25 a 49 ans",2.41067216016727,"Richest","1_1_NA_NA_11",1974,1995,"Non",NA,NA,NA,"Secondary +",0,2,"25-29","Currently married","1998",0.64203,NA,NA,NA
"54","1_1_NA_NA_11_4057",4057,2001,"Urbain","Kinshasa",2,"Secondary+","Masculin","50 ans et plus",2.24766733373571,"Richest","1_1_NA_NA_11",1970,NA,NA,NA,NA,NA,"Secondary +",NA,0,"30-34","Never married",NA,0.64203,NA,NA,NA
"55","1_1_NA_NA_11_4057",4057,2001,"Urbain","Kinshasa",2,"Secondary+","Masculin","50 ans et plus",2.24766733373571,"Richest","1_1_NA_NA_11",1978,NA,NA,NA,NA,NA,"Secondary +",NA,0,"20-24","Never married",NA,0.64203,NA,NA,NA
"56","1_1_NA_NA_11_4058",4058,2001,"Urbain","Kinshasa",1,"Secondary+","Masculin","25 a 49 ans",2.25148382654077,"Richest","1_1_NA_NA_11",1971,1994,"Non",NA,NA,NA,"Secondary +",0,3,"30-34","Currently married","1999",0.64203,NA,NA,NA
"57","1_1_NA_NA_11_4059",4059,2001,"Urbain","Kinshasa",2,"Primary","Feminin","50 ans et plus",2.43679254575626,"Richest","1_1_NA_NA_11",1978,1997,"Non","Non","Infirmiere / sage femme","Non","Secondary +",0,3,"20-24","Never married","2000",0.64203,"Non","Non","Matrone"
"58","1_1_NA_NA_11_4059",4059,2001,"Urbain","Kinshasa",2,"Primary","Feminin","50 ans et plus",2.43679254575626,"Richest","1_1_NA_NA_11",1980,1999,"Non","Docteur","Non","Non","Secondary +",0,2,"20-24","Currently married","2001",0.64203,"Non","Infirmiere / sage femme","Non"
"59","1_1_NA_NA_11_4060",4060,2001,"Urbain","Kinshasa",5,"Primary","Masculin","50 ans et plus",2.25148382654077,"Richest","1_1_NA_NA_11",1972,1991,"Oui",NA,NA,NA,"Secondary +",2,3,"25-29","Never married",NA,0.64203,NA,NA,NA
"60","1_1_NA_NA_11_4060",4060,2001,"Urbain","Kinshasa",5,"Primary","Masculin","50 ans et plus",2.25148382654077,"Richest","1_1_NA_NA_11",1978,1996,"Non",NA,NA,NA,"Secondary +",0,2,"20-24","Never married","1999",0.64203,NA,NA,NA
"61","1_1_NA_NA_11_4060",4060,2001,"Urbain","Kinshasa",5,"Primary","Masculin","50 ans et plus",2.25148382654077,"Richest","1_1_NA_NA_11",1980,2000,"Non",NA,NA,NA,"Secondary +",0,1,"20-24","Never married","2000",0.64203,NA,NA,NA
